business_name,phone,email,website,address,city,state,category,source,date_found,priority,contacted,notes,lead_type,market_phase
Germain BMW of Naples,239-494-3545,,https://www.germainbmwofnaples.com/,2500 Tamiami Trail E,Naples,FL,Auto Dealership - BMW,websearch,2026-02-17,High,No,Luxury BMW dealership with large showroom in affluent Naples market,Auto Dealer,FL High-End Markets
Mercedes-Benz of Naples,239-262-7500,,https://www.mercedesbenzofnaples.com/,2485 Airport Pulling Rd,Naples,FL,Auto Dealership - Mercedes,websearch,2026-02-17,High,No,Premium Mercedes dealership with luxury showroom facilities,Auto Dealer,FL High-End Markets
Porsche Naples,239-591-9280,,https://www.porschenaples.com/,2655 Airport Pulling Rd,Naples,FL,Auto Dealership - Porsche,websearch,2026-02-17,High,No,High-end Porsche dealership with premium showroom requiring premium flooring,Auto Dealer,FL High-End Markets
Ferrari of Naples,239-594-2200,,https://www.ferrariofnaples.com/,11291 Tamiami Trail N,Naples,FL,Auto Dealership - Ferrari,websearch,2026-02-17,High,No,Ultra-luxury exotic car dealership with sophisticated showroom design,Auto Dealer,FL High-End Markets
Rick Hendrick Chevrolet Naples,239-593-3700,,https://www.rickhendrickchevynaples.com/,5665 Airport Pulling Rd,Naples,FL,Auto Dealership - Chevrolet,websearch,2026-02-17,High,No,Large Chevrolet dealership with expansive showroom and service areas,Auto Dealer,FL High-End Markets
Naples Luxury Imports,239-254-9500,,https://www.naplesluxuryimports.com/,900 Tamiami Trail N,Naples,FL,Auto Dealership - Luxury/Exotic,websearch,2026-02-17,High,No,Luxury and exotic car dealer with high-end showroom presentation,Auto Dealer,FL High-End Markets
Braman BMW of Jupiter,561-746-5700,,https://www.bramanbmwjupiter.com/,1601 W Indiantown Rd,Jupiter,FL,Auto Dealership - BMW,websearch,2026-02-17,High,No,Modern BMW dealership with premium showroom in affluent Jupiter market,Auto Dealer,FL High-End Markets
Celebrity Auto Group,941-923-6633,,https://www.celebrityautogroup.com/,6464 Parkland Dr,Sarasota,FL,Auto Dealership - Luxury,websearch,2026-02-17,High,No,Luxury car dealership with high-end showroom requiring premium flooring,Auto Dealer,FL High-End Markets
Audi Naples,239-596-4600,,https://www.audinaples.com/,3855 Tamiami Trail E,Naples,FL,Auto Dealership - Audi,websearch,2026-02-17,High,No,Premium Audi dealership with modern showroom design,Auto Dealer,FL High-End Markets
Naples Motorsports,239-597-7800,,https://www.naplesmotorsports.com/,2670 Airport Pulling Rd,Naples,FL,Auto Dealership - Luxury/Sports,websearch,2026-02-17,High,No,Luxury and sports car dealership with premium showroom facilities,Auto Dealer,FL High-End Markets
