business_name,address,phone,email,contact_name,website,city,state,source,date_found,notes
Sailor's Return Restaurant,625 SW Anchorage Way Stuart FL 34994,772-872-7250,,Chef Keith Meyers (Chef),https://thesailorsreturn.com/,Stuart,FL,Direct Website,2026-03-09,Waterfront restaurant - commercial kitchen - Chef Keith Meyers, Bob & Tracy Davis (owners) - High-end epoxy flooring potential
Spritz City Bistro,61 SW Osceola St Stuart FL 34994,772-320-9100,hello@spritzcitybistro.com,,https://spritzcitybistro.com/,Stuart,FL,Direct Website,2026-03-09,Downtown Stuart restaurant - tapas & small plates - commercial kitchen - Mandaro Hospitality Group
The Gafford,,,,"",https://thegafford.com/,Stuart,FL,SearXNG Search,2026-03-09,Restaurant - commercial kitchen - high-end
Kyle G's Restaurants,10200 SW Discovery Way Port St Lucie FL 34986,772-444-0417,info@kylegs.com,,https://www.kylegs.com/,Port St Lucie,FL,Category File,2026-03-09,Restaurant group - multiple locations - contract potential - multiple site work
Zest Kitchen and Bar,1347 NW St Lucie W Blvd Port St Lucie FL 34986,772-249-4516,zestkitchenbar@gmail.com,,https://www.zestkitchenbar.com/,Port St Lucie,FL,Category File,2026-03-09,Modern kitchen & bar - commercial grade - contemporary epoxy finishes
Sazon Latin American Grill,Port Saint Lucie FL,772-335-9036,,https://www.facebook.com/SAZONLATINFL/,Port St Lucie,FL,Category File,2026-03-09,Latin American grill - kitchen equipment - heavy-duty flooring
Captain's Cafe,1020 Indian River Dr Fort Pierce FL 34950,772-466-8800,captainscafe@gmail.com,,https://www.captainscafe.com/,Fort Pierce,FL,Category File,2026-03-09,Waterfront cafe - marine-grade coatings - salt-resistant epoxy
Walton's Restaurant & Bar,1227 US Highway 1 Vero Beach FL 32960,772-234-0596,waltonsrc@gmail.com,,https://www.waltonsrestaurant.com/,Vero Beach,FL,Category File,2026-03-09,Established restaurant - renovation potential - heritage flooring
Cobalt,3845 Ocean Dr Vero Beach FL 32963,772-231-6888,cobaltverobeach@gmail.com,,https://www.cobaltverobeach.com/,Vero Beach,FL,Category File,2026-03-09,Upscale oceanfront - premium finishes - high-end client - luxury epoxy
Ocean Grille,39 Ocean Dr Vero Beach FL 32963,772-231-9000,info@oceangrilleverobeach.com,,https://www.oceangrilleverobeach.com/,Vero Beach,FL,Category File,2026-03-09,Oceanfront restaurant - salt-resistant coatings - marine-grade epoxy
Mulligan's Beach House,100 Seaview Blvd Sebastian FL 32958,772-589-2391,mulliganssebastian@gmail.com,,https://www.mulligansbeachhouse.com/,Sebastian,FL,Category File,2026-03-09,Beach house - sand + salt exposure - outdoor deck coating
The Tides,2268 Ocean Dr Vero Beach FL 32963,772-562-3333,info@thetidesverobeach.com,,https://www.thetidesverobeach.com/,Vero Beach,FL,Category File,2026-03-09,Oceanfront dining - luxury - premium client - high-end epoxy work
11 Maple Street,11 Maple St Jensen Beach FL 34957,772-334-9998,info@11maplestreet.com,,https://www.11maplestreet.com/,Jensen Beach,FL,Category File,2026-03-09,Fine dining - commercial kitchen epoxy - high-end - chef-driven concept
Riverwalk Cafe,201 SW Flagler Ave Stuart FL 34994,772-287-9380,info@riverwalkcafe.com,,https://www.riverwalkcafe.com/,Stuart,FL,Category File,2026-03-09,Downtown Stuart - high visibility - kitchen remodel potential - downtown showcase
Clementine's Fish Camp,2365 SE Ocean Blvd Stuart FL 34996,772-288-3865,clementinesfishcamp@gmail.com,,https://www.clementinesfishcamp.com/,Stuart,FL,Category File,2026-03-09,Seafood restaurant - kitchen ventilation + grease-resistant floors - commercial epoxy
Tiki 52,4220 SE Bayshore Blvd Stuart FL 34996,772-781-5400,tiki52stuart@gmail.com,,https://www.tiki52stuart.com/,Stuart,FL,Category File,2026-03-09,Waterfront restaurant - tiki bar flooring - outdoor epoxy coatings
Osceola Street Cafe,24 SW Osceola St Stuart FL 34994,772-283-7277,cafeosceola@gmail.com,,https://www.osceolastreetcafe.com/,Stuart,FL,Category File,2026-03-09,Popular local cafe - breakfast rush - floor durability - high-traffic epoxy
