A Greco's European Automotive,772-283-2227,,https://www.agrecoautomotive.com/,1410 SE Ocean Blvd,Stuart,FL,Auto Shop,websearch,2026-02-23,High No,European auto repair specialist - ASE-certified, 24-month warranty, military discounts
Brian Pessolano Auto Repair,772-283-3470,,https://www.yelp.com/biz/brian-pessolano-auto-repair-stuart,2327 SE Normand St,Stuart,FL,Auto Shop,websearch,2026-02-23,High No,Auto repair shop - verified via Yelp with 10 reviews
Campbell Automotive,772-220-0663,,https://www.campbell-auto.com/,2815 SE Garden St,Stuart,FL,Auto Shop,websearch,2026-02-23,High No,Full-service automotive repair since 2004 - nationwide warranty honored
Amazon Fulfillment Center DVB1,,,https://www.mapquest.com/us/florida/amazon-fulfillment-center-dvb1-491633254,7440 Commercial Cir,Fort Pierce,FL,Warehouse,websearch,2026-02-23,High No,"MAJOR DISTRIBUTION CENTER - Large-scale Amazon fulfillment facility specializing in storage, packing, and shipping - 60,000 sq ft expansion - HUGE EPOXY OPPORTUNITY"
Coca-Cola Beverages Florida,,,https://cokeflorida.com/locations/fort-pierce/,3939 Saint Lucie Blvd,Fort Pierce,FL,Distribution Center,websearch,2026-02-23,High No,"Coca-Cola sales & distribution center - major beverage distribution facility needing durable floors"
WaterFront Sailfish Lounge & Grill,772-288-1881,waterfront@sandcrg.com,https://thewaterfrontstuart.com/,131 SW Flagler Ave,Stuart,FL,Restaurant,websearch,2026-02-23,High No,"Waterfront restaurant and lounge - upscale dining with kitchen needing durable flooring"
The Sailor's Return Restaurant,772-872-7250,,https://thesailorsreturn.com/,Stuart,Stuart,FL,Restaurant,websearch,2026-02-23,High No,"Popular waterfront restaurant with live bands - high traffic area needing floor maintenance"
Duke's Place Italian American Restaurant,772-872-6120,,https://www.dukesplacerestaurantofstuart.com/contact-us,205 Southwest Monterey Road,Stuart,FL,Restaurant,websearch,2026-02-23,Medium No,Italian restaurant in Stuart FL - kitchen renovation potential
BOATHOUSE Fish Restaurant,772-266-4586,,https://www.stuartboathouse.com/,Stuart,Stuart,FL,Restaurant,websearch,2026-02-23,High No,Fish restaurant in Stuart FL - heavy kitchen use requiring durable flooring
Oak and Ember Steakhouse,772-444-6299,,https://www.oakandembersteakhouse.com/stuart-location/,301 S. Colorado Ave,Stuart,FL,Restaurant,websearch,2026-02-23,High No,Steakhouse with valet service - upscale restaurant needing epoxy floors
Colab Kitchen,772-872-6243,,https://www.colabkitchenfl.com/,100 SE MLK Jr. Boulevard,Stuart,FL,Restaurant,websearch,2026-02-23,Medium No,Farm-to-table American restaurant - kitchen floor maintenance needed
Spritz City Bistro,772-320-9100,,https://www.spritzcitybistro.com/,61 SW Osceola St,Stuart,FL,Restaurant,websearch,2026-02-23,Medium No,Downtown Stuart bistro and bar - kitchen flooring potential
China Kitchen,772-692-8688,,https://www.chinakitchenjb.com/contact,4251 NW Federal Hwy,Jensen Beach,FL,Restaurant,websearch,2026-02-23,Medium No,Chinese restaurant in Jensen Beach FL - 12 photos on Yelp
Drift Kitchen & Bar,772-405-9215,,https://www.yelp.com/biz/drift-kitchen-and-bar-jensen-beach-3,3793 NE Ocean Blvd,Jensen Beach,FL,Restaurant,websearch,2026-02-23,High No,"Hutchinson Shores Resort restaurant - 416 photos, waterfront dining - MAJOR EPOXY OPPORTUNITY"
Manatee Island Bar & Grill,772-242-8460,,https://www.manateeislandgrill.com/,Fort Pierce,Fort Pierce,FL,Restaurant,websearch,2026-02-23,High No,Restaurant in Fort Pierce FL - heavy kitchen traffic
Happy Garden Cafe,772-241-9260,,https://happygardencafe-fl.com/,109 South 2nd Street,Fort Pierce,FL,Restaurant,websearch,2026-02-23,Medium No,Cafe in Fort Pierce FL - kitchen flooring potential
Chuck's Seafood,772-461-9484,,http://chucks-seafood.com/,822 Seaway Dr,Fort Pierce,FL,Restaurant,websearch,2026-02-23,Medium No,Seafood restaurant in Fort Pierce FL - commercial kitchen needs
Chick-fil-A,772-316-9751,,https://www.chick-fil-a.com/locations/fl/fort-pierce,5560 Okeechobee Rd,Fort Pierce,FL,Restaurant,websearch,2026-02-23,Medium No,Fast food restaurant chain - high traffic flooring needs
Hutchinson Island Bar and Grille,772-242-8928,,https://hutchinsonislandbarandgrille.com/,2400 S Ocean Dr,Fort Pierce,FL,Restaurant,websearch,2026-02-23,High No,"Waterfront restaurant - oceanfront dining with heavy foot traffic"
Kinfolk Restaurant,772-742-8942,,https://cwkinfolk.com/,7319 Indrio Rd Suite 5,Fort Pierce,FL,Restaurant,websearch,2026-02-23,Medium No,"Southern comfort food and chicken & waffles - commercial kitchen flooring"
Palm City Auto Repair and Collision,772-287-4244,,https://palmcityautorepairandcollision.com/,3438 SW Deggeller Ct,Palm City,FL,Auto Shop,websearch,2026-02-23,High No,"Auto repair and collision center - 80+ years combined experience - epoxy garage floors needed"
N V Auto Repair,772-781-5300,,https://www.yelp.com/biz/n-v-auto-repair-palm-city,3357 SW 42nd Ave,Palm City,FL,Auto Shop,websearch,2026-02-23,High No,Auto repair shop in Palm City FL - epoxy flooring potential
Palm City Auto Doctors,772-243-0599,,https://www.yelp.com/biz/palm-city-auto-doctors-palm-city,Palm City,Palm City,FL,Auto Shop,websearch,2026-02-23,Medium No,Auto repair with transmission services - garage flooring potential
Palm City Auto Lube & Services,772-223-5823,,https://www.yelp.com/biz/palm-city-auto-lube-and-services-palm-city,3584 SW Armellini Ave,Palm City,FL,Auto Shop,websearch,2026-02-23,Medium No,Auto lube and services - garage epoxy flooring opportunity
SL Battery & Tire,866-779-4027,,https://slbatterytire.com/cities/palm-city/,3992 SW Bruner Terrace,Palm City,FL,Auto Shop,websearch,2026-02-23,Medium No,Tires and battery service center - showroom epoxy flooring
Palm City Auto Repair and Collision,772-287-4244,,https://palmcityautorepairandcollision.com/rough-country,3438 Southwest Deggeller Court,Palm City,FL,Auto Shop,websearch,2026-02-23,High No,"One-stop auto repair and collision shop - 80+ years combined experience"
Empire Automotive,772-370-8564,,https://www.empireautomotivepsl.com/Palm-City.html,1935 SW South Macedo Blvd,Port St Lucie,FL,Auto Shop,websearch,2026-02-23,High No,Auto repair near Palm City - full-service brake, tire, transmission
Fort Pierce Auto Paint Store #1,772-466-1201,,https://stores.advanceautoparts.com/fl/fort-pierce/2410-orange-ave,2410 Orange Ave,Fort Pierce,FL,Auto Shop,websearch,2026-02-23,High No,Advance Auto Parts store - showroom and garage epoxy flooring
Fort Pierce Auto Paint Store #2,772-489-2428,,https://stores.advanceautoparts.com/fl/fort-pierce/4158-okeechobee-rd,4158 Okeechobee Rd,Fort Pierce,FL,Auto Shop,websearch,2026-02-23,High No,Advance Auto Parts store - showroom and garage epoxy flooring
