property_name,phone,email,address,city,units,revenue_monthly,revenue_annual,priority,service_type,contact_notes
Coastal Property Management,"(772) 600-8900",info@cpmfl.com,"",Stuart,"100-250",8750,105000,HIGH,"Property Management","Multiple apartment complexes in Stuart area"
Property Boss,"(772) 621-2273",Staff@propertybossllc.com,"",Stuart,"100-250",8750,105000,HIGH,"Property Management","Full-service property management company"
South Florida Realty Management,"(772) 220-0844",info@floridapm.net,"",Stuart,"100-250",8750,105000,HIGH,"Property Management","Manages multiple properties - prime target"
Real Property Management Sailfish Coast,"(772) 242-9094","","",Stuart,"100-250",8750,105000,HIGH,"Property Management","Regional management company"
The Estates at Stuart","","","",Stuart,"200-300",12500,150000,HIGH,"Apartment Complex","Luxury apartments - high-value renovation opportunity"
Astorwood Apartments","","","",Stuart,"150-200",7500,90000,HIGH,"Apartment Complex","Known apartment complex - immediate turnover needs"
The Hammock at Stuart","","","",Stuart,"100-150",6250,75000,MEDIUM,"Apartment Complex","Apartment rental community"
Florida Management Services,"772-465-4445",info@floridamanagementservices.com,"",Fort Pierce,"500-2000",37500,450000,HIGH,"Property Management","Large portfolio - significant recurring revenue"
North County Property Management,"772-461-0688",info@northcountypm.com,"",Fort Pierce,"500-2000",37500,450000,HIGH,"Property Management","Property management with multiple properties"
TC Rentals & Property Management,"(772) 334-9333",office@tcrentals.com,"",Jensen Beach,"500-2000",37500,450000,HIGH,"Property Management","Rental and property management services"
Treasure Coast Property Management & Rentals,"772-871-9900",tcproperties@gmail.com,"",Jensen Beach,"500-2000",37500,450000,HIGH,"Property Management","Comprehensive property management"
Atlantic Property Group,"772-567-2222",info@atlanticpropertygroup.com,"",Vero Beach,"500-2000",37500,450000,HIGH,"Property Management","Vero Beach property management"
Berkshire Hathaway HomeServices Florida Property Management,"772-231-8787",floridapropertymanagement@bhsfl.com,"",Vero Beach,"500-2000",37500,450000,HIGH,"Property Management","Major real estate brand property division"
IGC Realty Rental Management,"772-388-0404","","",Sebastian,"500-2000",37500,450000,HIGH,"Property Management","Rental management services"
Island Property Management,"772-589-5432",info@islandpm.com,"",Sebastian,"500-2000",37500,450000,HIGH,"Property Management","Island property specialists"
S&S Property Management,"772-589-5588","","",Sebastian,"500-2000",37500,450000,HIGH,"Property Management","Local property management"
Gulf Stream Property Management,"(772) 546-6789",gulfstream@gspm.com,"",Hobe Sound,"500-2000",37500,450000,HIGH,"Property Management","Hobe Sound property management"
