business_name,email,phone,city,state,website,priority,notes
Captain's Cafe,captainscafe@gmail.com,772-466-8800,Fort Pierce,,https://www.captainscafe.com/,High,Business-specific email (not generic info@)
Clementine's Fish Camp,clementinesfishcamp@gmail.com,772-288-3865,Stuart,,https://www.clementinesfishcamp.com/,High,Business-specific email (not generic info@)
Cobalt,cobaltverobeach@gmail.com,772-231-6888,Vero Beach,,https://www.cobaltverobeach.com/,High,Business-specific email (not generic info@)
Kilwins,kilwinsjb@gmail.com,772-210-0299,Jensen Beach,FL,https://kilwinsjb.com,High,Business-specific email (not generic info@)
Osceola Street Cafe,cafeosceola@gmail.com,772-283-7277,Stuart,,https://www.osceolastreetcafe.com/,High,Business-specific email (not generic info@)
Shuckers,shuckersstuart@gmail.com,772-225-3455,Stuart,,"",High,Business-specific email (not generic info@)
The Dolphin Bar & Shrimp House,dolphinbarstuart@gmail.com,772-287-7777,Stuart,FL,https://thedolphinbar.com,High,Business-specific email (not generic info@)
The Oar Restaurant,theoarrestaurantvb@gmail.com,772-226-7155,Vero Beach,,theoarrestaurant.com,High,Business-specific email (not generic info@)
Tiki 52,tiki52stuart@gmail.com,772-781-5400,Stuart,,https://www.tiki52stuart.com/,High,Business-specific email (not generic info@)
Walton House Restaurant,waltonhouse@bellsouth.net,772-466-6644,Fort Pierce,FL,https://waltonhouse.com,High,Business-specific email (not generic info@)
Walton's Restaurant & Bar,waltonsrc@gmail.com,772-234-0596,Vero Beach,,https://www.waltonsrestaurant.com/,High,Business-specific email (not generic info@)
Zest Kitchen and Bar,zestkitchenbar@gmail.com,772-249-4516,Port St Lucie,,https://www.zestkitchenbar.com/,High,Business-specific email (not generic info@)
