Business Name,URL,Snippet,Source Query
The Old Colorado Inn,https://www.oldcoloradoinn.com/,"Picturesque stay in Stuart, FL! The Old Colorado Inn has all the charm and character of an historical hotel with the cleanliness and attentive service no "chain" hotel can possibly match!",hotels Stuart FL
Courtyard Stuart,https://www.marriott.com/hotels/travel/stucy-courtyard-stuart/,"Stuart FL Hotel. Located near Jensen Beach and Port St. Lucie. Our hotel features a heated outdoor pool, free Wi-Fi and on-site dining.",hotels Stuart FL
Holiday Inn Express Stuart,https://www.ihg.com/holidayinnexpress/hotels/us/en/stuart/stucx/hoteldetail,"Official site of Holiday Inn Express & Suites Stuart. Stay Smart, rest, and recharge at Holiday Inn Express - Best Price Guarantee.",hotels Stuart FL
Hampton Inn & Suites Stuart,https://www.hilton.com/en/hotels/fl/stuhamhx-hampton-inn-and-suites-stuart-north-jensen-beach/,"Hampton Inn & Suites Stuart North Jensen Beach. Free breakfast, outdoor pool, fitness center. Near Jensen Beach and Treasure Coast beaches.",hotels Stuart FL
Tru by Hilton Stuart,https://www.hilton.com/en/hotels/fl/stuctrx-tru-by-hilton-stuart/,"Modern hotel in Stuart FL with free breakfast, outdoor pool, fitness center. Near Historic Downtown Stuart.",hotels Jensen Beach FL
Embassy Suites by Hilton Stuart,https://www.hilton.com/en/hotels/fl/stues-embassy-suites-by-hilton-stuart-jensen-beach/,"All-suite hotel near Jensen Beach. Free made-to-order breakfast, evening reception, outdoor pool, fitness center.",hotels Jensen Beach FL
Best Western Plus Stuart Ocean Breeze,https://www.bestwestern.com/en_US/book/hotel-details.40448.html,"Beachfront hotel in Jensen Beach. Direct beach access, outdoor pool, free breakfast. Near Treasure Coast beaches.",hotels Jensen Beach FL
Sleep Inn & Suites Jensen Beach,https://www.choicehotels.com/florida/jensen-beach/sleep-inn-hotels/fl391,"Hotel in Jensen Beach FL. Free breakfast, outdoor pool, beach access. Near Stuart and Port St. Lucie.",hotels Jensen Beach FL
SpringHill Suites Port St Lucie,https://www.marriott.com/hotels/travel/pslsp-springhill-suites-port-st-lucie/,"Extended stay hotel in Port St Lucie. Suites with kitchenettes, outdoor pool, free breakfast. Near Tradition and I-95.",hotels Port St Lucie FL
Residence Inn Port St Lucie,https://www.marriott.com/hotels/travel/pslri-residence-inn-port-st-lucie/,"Extended stay hotel in Port St Lucie FL. Full kitchens, outdoor pool, free breakfast. Near Tradition and St. Lucie West.",hotels Port St Lucie FL
Hampton Inn Port St Lucie Tradition,https://www.hilton.com/en/hotels/fl/pslihx-hampton-inn-port-st-lucie/,"Hotel in Tradition FL. Free breakfast, outdoor pool, fitness center. Near Port St. Lucie Civic Center.",hotels Port St Lucie FL
