business_name,address,phone,email,contact_name,city
The Finest Catch Seafood Restaurant,"123 Ocean Drive, Stuart, FL 34994",(772) 555-0123,manager@thefinestcatch.com,Michael Johnson,Stuart
Beachside Grill & Bar,"456 Coastal Ave, Jensen Beach, FL 34957",(772) 555-0124,owner@beachsidegrill.com,Sarah Williams,Jensen Beach
Portside Culinary Studio,"789 Harbor Blvd, Port St Lucie, FL 34953",(772) 555-0125,chef@portsideculinary.com,David Chen,Port St Lucie
Ocean View Restaurant,"321 Ocean Drive, Vero Beach, FL 32963",(772) 555-0126,info@oceanviewrestaurant.com,Jennifer Martinez,Vero Beach
Downtown Bistro,"654 Main Street, Fort Pierce, FL 34950",(772) 555-0127,contact@downtownbistro.com,Robert Taylor,Fort Pierce
Palm City Kitchen,"987 Palm Drive, Palm City, FL 34990",(772) 555-0128,manager@palmcitykitchen.com,Lisa Anderson,Palm City
Hobe Sound Restaurant,"147 Indian River Drive, Hobe Sound, FL 33455",(772) 555-0129,owner@hobesoundrestaurant.com,Mark Thompson,Hobe Sound
Seaside Seafood Market,"258 Coastal Highway, Sebastian, FL 32958",(772) 555-0130,info@seasideseafood.com,Karen White,Sebastian
Tropical Bistro Restaurant,"369 Ocean Boulevard, Stuart, FL 34994",(772) 555-0131,contact@tropicalbistro.com,Christopher Brown,Stuart
Harbor Point Restaurant,"741 Harbor Lane, Jensen Beach, FL 34957",(772) 555-0132,manager@harborpoint.com,Amanda Davis,Jensen Beach
Coastal Commercial Kitchen,"852 Industrial Park, Port St Lucie, FL 34953",(772) 555-0133,director@coastalkitchen.com,James Wilson,Port St Lucie
Beachfront Restaurant Group,"963 Oceanfront Drive, Vero Beach, FL 32963",(772) 555-0134,admin@beachfrontgroup.com,Maria Rodriguez,Vero Beach
Fort Pierce Food Services,"174 Commerce Street, Fort Pierce, FL 34950",(772) 555-0135,owner@fortpiercefood.com,Kevin Lee,Fort Pierce
Palm City Culinary Institute,"234 Education Way, Palm City, FL 34990", 772) 555-0136,info@palmcityculinary.com,Patricia Garcia,Palm City
Sebastian Bay Restaurant,"456 Bayshore Road, Sebastian, FL 32958",(772) 555-0137,manager@sebastianbay.com,Brian Johnson,Sebastian
