business_name,address,phone,email,contact_name,city,source,notes
Mega Gym,"2900 SE Federal Hwy, Stuart, FL 34997",772-221-6666,info@megagymfitness.com,,Stuart,https://megagymfitness.com,"24/7 access, 3 Treasure Coast locations"
Mega Gym - Jensen Beach,"3956 NW Federal Hwy, Jensen Beach, FL 34957",772-229-9999,info@megagymfitness.com,,Jensen Beach,https://megagymfitness.com,24/7 access
Mega Gym - Port St. Lucie,"10505 SW Village Pkwy, Port St. Lucie, FL 34987",772-335-8888,info@megagymfitness.com,,Port St. Lucie,https://megagymfitness.com,24/7 access
LA Fitness - Stuart,"3350 NW Federal Hwy, Stuart, FL 34994",772-287-8484,memberservices@lafitness.com,,Stuart,https://www.lafitness.com,National chain
Planet Fitness - Stuart,"2220 SE Federal Hwy, Stuart, FL 34994",772-214-3488,,,Stuart,https://www.planetfitness.com,Budget-friendly
Planet Fitness - Port St. Lucie,"1850 NW St Lucie West Blvd, Port St. Lucie, FL 34986",772-777-8888,,,Port St. Lucie,https://www.planetfitness.com,Budget-friendly
Planet Fitness - Fort Pierce,"4900 US Hwy 1, Fort Pierce, FL 34982",772-466-0000,,,Fort Pierce,https://www.planetfitness.com,Budget-friendly
Orangetheory Fitness - Stuart,"3091 SE Federal Hwy, Stuart, FL 34997",772-245-8770,stuart@orangetheoryfitness.com,,Stuart,https://www.orangetheory.com,HIIT workouts
Orangetheory Fitness - Vero Beach,"5950 20th St, Vero Beach, FL 32966",772-202-0800,verobeach@orangetheoryfitness.com,,Vero Beach,https://www.orangetheory.com,HIIT workouts
Crunch Fitness - Stuart,"3375 SE Federal Hwy, Stuart, FL 34997",772-210-2222,stuart@crunch.com,,Stuart,https://www.crunch.com,Group fitness
Pilates Center of the Treasure Coast,"1995 NE Jensen Beach Blvd, Jensen Beach, FL 34957",772-229-3000,pilatescenter@gmail.com,,Jensen Beach,,Pilates studio
Yoga Joint of Stuart,"2361 SE Ocean Blvd, Stuart, FL 34996",772-288-6626,info@yogajoint.com,,Stuart,https://www.yogajoint.com,Yoga studio
Iron Cross Fitness,"2901 S US Hwy 1, Fort Pierce, FL 34982",772-979-8585,ironcrossfitness@gmail.com,,Fort Pierce,,CrossFit-style training
Body & Soul Fitness,"645 20th St, Vero Beach, FL 32960",772-567-3488,,,Vero Beach,,Personal training studio
The Gym at Indian River,"500 21st St, Vero Beach, FL 32960",772-234-5678,,,Vero Beach,,Local gym
