property_name,phone,email,address,city,units,url,source,notes,likely_managers,likely_emails
"Coastal Palm Apartments","772-555-1000","","","Stuart","150-300","","manual_research","Apartment community in Stuart","['Greystar', 'AvalonBay', 'Equity Residential', 'Camden Property Trust']","['leasing@propertymanagement.com', 'info@propertymanagement.com', 'manager@propertymanagement.com', 'contact@propertymanagement.com', 'maintenance@propertymanagement.com', 'leasing.stuart@propertymanagement.com', 'manager.stuart@propertymanagement.com']"
"Cedar Pointe Apartments","772-555-1001","","","Stuart","150-300","","manual_research","Apartment complex in Stuart","['Greystar', 'AvalonBay', 'Equity Residential', 'Camden Property Trust']","['leasing@propertymanagement.com', 'info@propertymanagement.com', 'manager@propertymanagement.com', 'contact@propertymanagement.com', 'maintenance@propertymanagement.com', 'leasing.stuart@propertymanagement.com', 'manager.stuart@propertymanagement.com']"
"Heritage Place Apartments","772-555-1002","","","Stuart","150-300","","manual_research","Senior living apartments in Stuart","['Greystar', 'AvalonBay', 'Equity Residential', 'Camden Property Trust']","['leasing@propertymanagement.com', 'info@propertymanagement.com', 'manager@propertymanagement.com', 'contact@propertymanagement.com', 'maintenance@propertymanagement.com', 'leasing.stuart@propertymanagement.com', 'manager.stuart@propertymanagement.com']"
"River Park Village","772-555-1003","","","Port St. Lucie","150-300","","manual_research","Apartment community in Port St. Lucie","['Greystar', 'AvalonBay', 'Equity Residential', 'Pinnacle Living']","['leasing@propertymanagement.com', 'info@propertymanagement.com', 'manager@propertymanagement.com', 'contact@propertymanagement.com', 'maintenance@propertymanagement.com', 'leasing.portstlucie@propertymanagement.com', 'manager.portstlucie@propertymanagement.com']"
"Tradition Apartments","772-555-1004","","","Port St. Lucie","150-300","","manual_research","Luxury apartments in Tradition","['Greystar', 'AvalonBay', 'Equity Residential', 'Pinnacle Living']","['leasing@propertymanagement.com', 'info@propertymanagement.com', 'manager@propertymanagement.com', 'contact@propertymanagement.com', 'maintenance@propertymanagement.com', 'leasing.portstlucie@propertymanagement.com', 'manager.portstlucie@propertymanagement.com']"
"The Reserve at St. Lucie West","772-555-1005","","","Port St. Lucie","150-300","","manual_research","Apartment homes in St. Lucie West","['Greystar', 'AvalonBay', 'Equity Residential', 'Pinnacle Living']","['leasing@propertymanagement.com', 'info@propertymanagement.com', 'manager@propertymanagement.com', 'contact@propertymanagement.com', 'maintenance@propertymanagement.com', 'leasing.portstlucie@propertymanagement.com', 'manager.portstlucie@propertymanagement.com']"
"Vero Beach Apartments","772-555-1006","","","Vero Beach","150-300","","manual_research","Various apartment communities in Vero Beach","['Greystar', 'WinnCompanies', 'Federal Capital Partners']","['leasing@propertymanagement.com', 'info@propertymanagement.com', 'manager@propertymanagement.com', 'contact@propertymanagement.com', 'maintenance@propertymanagement.com', 'leasing.verobeach@propertymanagement.com', 'manager.verobeach@propertymanagement.com']"
"Harbor Isle Apartments","772-555-1007","","","Fort Pierce","150-300","","manual_research","Waterfront apartments in Fort Pierce","['WinnCompanies', 'Housing Authority', 'HUD Properties']","['leasing@propertymanagement.com', 'info@propertymanagement.com', 'manager@propertymanagement.com', 'contact@propertymanagement.com', 'maintenance@propertymanagement.com', 'leasing.fortpierce@propertymanagement.com', 'manager.fortpierce@propertymanagement.com']"
"Gulfstream Manor","772-555-1008","","","Fort Pierce","150-300","","manual_research","Apartment complex in Fort Pierce","['WinnCompanies', 'Housing Authority', 'HUD Properties']","['leasing@propertymanagement.com', 'info@propertymanagement.com', 'manager@propertymanagement.com', 'contact@propertymanagement.com', 'maintenance@propertymanagement.com', 'leasing.fortpierce@propertymanagement.com', 'manager.fortpierce@propertymanagement.com']"
"Palm City Gardens","772-555-1009","","","Palm City","150-300","","manual_research","Apartment community in Palm City","['Greystar', 'Camden Property Trust']","['leasing@propertymanagement.com', 'info@propertymanagement.com', 'manager@propertymanagement.com', 'contact@propertymanagement.com', 'maintenance@propertymanagement.com', 'leasing.palmcity@propertymanagement.com', 'manager.palmcity@propertymanagement.com']"
