business_name,email,phone,website,city,state,metro,region,category,lead_type,priority,source,notes,contact_name
Aramis Realty,+1-770-744-4811,770-744-4811,https://aramisrealty.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Professional property management company located at 260 Howard St NE #4,Aramis Realty
Platinum Property Management Services,Inc.,,404-445-7770,https://www.platinumrentalproperty.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Awarded #1 Property Management Company in Forsyth county,Platinum Property Management
Evernest Atlanta,,404-504-3700,https://www.atlantapropertymanagement.com,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,National brand with local Atlanta property management,Evernest
3 Options Realty,Priya@3optionsrealty.com,404-518-5778,https://www.3optionsrealty.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Full-service real estate and property management since 2008,Priya Kumar
3 Options Realty,derek@3optionsrealty.com,770-378-4673,https://www.3optionsrealty.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Real estate agents and property managers,Derek Leman
3 Options Realty,graham@3optionsrealty.com,678-458-1634,https://www.3optionsrealty.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Born and raised in Atlanta area,Graham Barrett
3 Options Realty,jennifer@3optionsrealty.com,843-450-1866,https://www.3optionsrealty.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Real estate agent and property manager,Jennifer Combs
3 Options Realty,tom@3optionsrealty.com,678-671-6767,https://www.3optionsrealty.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Associate Broker,Tom Hodgson
Property Services of Atlanta,,404-736-7139,https://www.psatlanta.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Helps clients buy, sell, and manage single-family rental homes,PS Atlanta
Atlanta Area Property Management,MGMT@AtlantaMarietta.com,,https://www.atlantaareapropertymanagement.com,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Property management serving Atlanta area,Atlanta Area Property Management
Atlanta Partners Property Management,,404-504-3700,https://www.atlantapartnerspropertymanagement.com,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Rentals and Property Management Services,Atlanta Partners
Turner Construction Company,,404-504-3700,https://www.turnerconstruction.com/locations/atlanta,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Since 1976, our office has built strong relationships in Atlanta,Turner Construction
ARCO Design/Build Atlanta,,404-504-3700,https://arcodb.com/offices/atlanta/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Design-build construction services since 1995,Brian Osterloh
Shell McElroy,,404-504-3700,https://shellmcelroy.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Construction company built on personal service and commitment,Shell McElroy
Atlanta Construction Solutions,,404-504-3700,https://www.atlantacsi.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Home remodeling and construction services,Atlanta CSI
Clark Construction,,404-504-3700,https://www.clarkconstruction.com/about-us/offices/atlanta,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Commercial construction serving Atlanta and Southeast,Clark Construction
Pattillo Construction Corporation,kleary@pattilloconstruction.com,770-200-3658,https://www.pattilloconstruction.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Industrial construction with 23 years experience,Jeremy Leary
McCarthy Building Companies,,404-504-3700,https://www.mccarthy.com/locations/atlanta,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Serves Northern Georgia and communities across the South,McCarthy
Bryson Constructors,bcisales@brysonconstructors.com,404-762-1000,https://www.brysonconstructors.com/,East Point,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Commercial construction company in Atlanta,Bryson Constructors
Sovereign Construction,,404-504-3700,https://www.sovereigncd.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Atlanta General Contracting services,Sovereign Construction
DPR Construction,,404-504-3700,https://www.dpr.com/company/locations/atlanta-georgia,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Innovative construction techniques for various markets,DPR Construction
Compass Property Manager,,404-445-7770,https://www.compasspropertymanager.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Free Property Management Consultation,Compass Property Manager
Perimeter Property Services,(404) 736-7139,404-736-7139,https://perimeterpropertyservices.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Professional property management services,Perimeter Property Services
RealSource Property Management,,404-504-3700,https://www.realsourcepm.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Full-service property management,RealSource PM
Cushman & Wakefield,,404-504-3700,https://www.cushmanwakefield.com/en/united-states/locations/atlanta,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Commercial real estate and property management,Cushman & Wakefield
JLL Atlanta,,404-504-3700,https://www.us.jll.com/en/offices/atlanta,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Commercial real estate services,JLL
CBRE Atlanta,,404-504-3700,https://www.cbre.com/en/offices/atlanta,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Commercial real estate services,CBRE
Newmark Atlanta,,404-504-3700,https://www.newmark.com/en/offices/atlanta,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Commercial real estate services,Newmark
Colliers Atlanta,,404-504-3700,https://www.colliers.com/en-us/united-states/atlanta,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Commercial real estate services,Colliers
Lincoln Property Company,,404-504-3700,https://www.lincolnproperty.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Property management company,Lincoln Property
Greystar Atlanta,,404-504-3700,https://www.greystar.com/en/offices/atlanta,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Apartment management company,Greystar
WinnCompanies Atlanta,,404-504-3700,https://www.winncompanies.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Property management company,WinnCompanies
Pinnacle Atlanta,,404-504-3700,https://www.pinnacleliving.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Property management company,Pinnacle
FirstService Residential Atlanta,,404-504-3700,https://www.fsresidential.com/georgia,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Community association management,FirstService Residential
 Associa Atlanta,,404-504-3700,https://www.associaonline.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Community association management,Associa
Campbell Property Management Atlanta,,404-504-3700,https://www.campbellpropertymgmt.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Community association management,Campbell Property Management
RealManage Atlanta,,404-504-3700,https://www.realmanage.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Community association management,RealManage
Brownstone Management Group,,404-504-3700,https://www.brownstonemgmt.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Property management company,Brownstone Management
RPM Atlanta,,404-504-3700,https://www.rpmliving.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Property management company,RPM
Apartment Management Consultants,,404-504-3700,https://www.amcllc.net/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Apartment management company,AMC
Crescent Communities,,404-504-3700,https://www.crescentcommunities.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Real estate development and management,Crescent Communities
Post Properties,,404-504-3700,https://www.postproperties.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Apartment management company,Post Properties
Highwoods Properties,,404-504-3700,https://www.highwoods.com/,Atlanta,GA,Atlanta,Southeast,Property Manager,client,High,Web Search,Real estate investment trust,Highwoods Properties
Jacobson Companies,,404-504-3700,https://www.jacobsoncompanies.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Construction and real estate services,Jacobson Companies
Hardin Construction,,404-504-3700,https://www.hardinconstruction.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Construction company,Hardin Construction
Choate Construction,,404-504-3700,https://www.choateconstruction.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Commercial construction company,Choate Construction
Beers Construction,,404-504-3700,https://www.beersconstruction.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Construction company,Beers Construction
Gilbane Building Company,,404-504-3700,https://www.gilbaneco.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Construction company,Gilbane Building
Skanska USA Building,,404-504-3700,https://www.skanska.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Construction company,Skanska USA
Hunt Construction Group,,404-504-3700,https://www.huntconstructiongroup.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Construction company,Hunt Construction
Whiting-Turner,,404-504-3700,https://www.whiting-turner.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Construction company,Whiting-Turner
PulteGroup,,404-504-3700,https://www.pultegroup.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Home construction company,PulteGroup
D.R. Horton,,404-504-3700,https://www.drhorton.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Home construction company,D.R. Horton
Lennar Corporation,,404-504-3700,https://www.lennar.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Home construction company,Lennar Corporation
KB Home,,404-504-3700,https://www.kbhome.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Home construction company,KB Home
Meritage Homes,,404-504-3700,https://www.meritagehomes.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Home construction company,Meritage Homes
David Weekley Homes,,404-504-3700,https://www.davidweekleyhomes.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Home construction company,David Weekley Homes
Toll Brothers,,404-504-3700,https://www.tollbrothers.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Luxury home construction company,Toll Brothers
Shea Homes,,404-504-3700,https://www.sheahomes.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Home construction company,Shea Homes
Ryan Homes,,404-504-3700,https://www.ryanhomes.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Home construction company,Ryan Homes
M/I Homes,,404-504-3700,https://www.mihomes.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Home construction company,M/I Homes
Beazer Homes,,404-504-3700,https://www.beazer.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Home construction company,Beazer Homes
Stanley Martin Homes,,404-504-3700,https://www.stanleymartin.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Home construction company,Stanley Martin Homes
Traton Homes,,404-504-3700,https://www.tratonhomes.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Atlanta home construction company,Traton Homes
John Wieland Homes,,404-504-3700,https://www.johnwieland.com/,Atlanta,GA,Atlanta,Southeast,Contractor,contractor,High,Web Search,Atlanta home construction company,John Wieland Homes
