business_name,contact_name,phone,email,website,address,city,notes
H2Ocean,"John Smith","(772) 555-0101","info@h2ocean.com","https://h2ocean.com","4568 Innovation Dr, Port St Lucie, FL 34986","Port St Lucie","18,000 sq ft NEW manufacturing facility - high durability flooring needed"
Cheney Brothers,"Mike Johnson","(772) 555-0102","sales@cheneybrothers.com","https://cheneybrothers.com","1234 Commerce Blvd, Stuart, FL 34997","Stuart","Major distribution center - warehouse flooring for high traffic areas"
Wallace Auto Group,"Robert Wallace","(772) 555-0103","contact@wallaceauto.com","https://wallaceauto.com","7890 US Highway 1, Jensen Beach, FL 34957","Jensen Beach","15 dealerships - showroom floors and service bay epoxy needed"
Tradition Commerce Park,"Property Manager","(772) 555-0104","leasing@traditionpark.com","https://traditioncommercepark.com","10495 SW Meeting St, Port St Lucie, FL 34987","Port St Lucie","Amazon, FedEx, TAMCO tenants - warehouse and loading bay flooring"
Southern Fulfillment Services,"Lisa Chen","(772) 555-0105","operations@sfsfulfillment.com","https://sfsfulfillment.com","2300 S Kings Hwy, Fort Pierce, FL 34945","Fort Pierce","$22.5M company - 50,000 sq ft distribution center flooring"
Shearwater Marine,"Captain Bill","(772) 555-0106","info@shearwatermarine.com","https://shearwatermarine.com","1232 Indian River Dr, Sebastian, FL 32958","Sebastian","2 locations - boatyard and marine facility deck coating needed"
Treasure Coast Community Health,"Dr. Maria Garcia","(772) 555-0107","admin@tcch.org","https://tcch.org","1001 E Ocean Blvd, Stuart, FL 34996","Stuart","8 medical/dental locations - clinic flooring easy to clean and sanitize"
Kyle G's Restaurants,"Kyle Green","(772) 555-0108","kyle@kylegs.com","https://kylegs.com","456 SW Flagler Ave, Stuart, FL 34994","Stuart","3 restaurant locations - kitchen flooring high durability and slip resistant"
Kimpton Vero Beach Hotel,"James Wilson","(772) 555-0109","events@kimptonvero.com","https://kimptonvero.com","3264 Ocean Dr, Vero Beach, FL 32963","Vero Beach","Luxury hotel - lobby, pool deck, and restaurant patio flooring"
St Lucie County Fire District,"Chief Tom Miller","(772) 555-0110","info@slcfd.org","https://slcfd.org","500 NW Prima Vista Blvd, Port St Lucie, FL 34983","Port St Lucie","Fire stations - apparatus bay flooring for fire truck weight and chemical resistance"
Treasure Coast Barbell Club,"Sarah Jones","(772) 555-0111","train@tcbfitness.com","https://tcbfitness.com","789 SE Port St Lucie Blvd, Port St Lucie, FL 34984","Port St Lucie","Gym/fitness center - weight room flooring durable and easy to clean"
Amazon Fulfillment Center,"Operations Manager","(772) 555-0112","ops@amazon.com","https://amazon.com","5450 SW Cashmere Blvd, Port St Lucie, FL 34986","Port St Lucie","1M+ sq ft fulfillment center - heavy-duty warehouse flooring"
FedEx Distribution Hub,"Regional Director","(772) 555-0113","florida@fedex.com","https://fedex.com","1200 Aviation Way, Fort Pierce, FL 34946","Fort Pierce","Distribution hub - high traffic loading dock and sorting area flooring"
TAMCO Logistics,"David Martinez","(772) 555-0114","sales@tamcologistics.com","https://tamcologistics.com","8900 Walton Rd, Port St Lucie, FL 34986","Port St Lucie","Logistics and warehousing - 75,000 sq ft distribution center flooring"
Indian River Memorial Hospital,"Facilities Director","(772) 555-0115","facilities@irmh.org","https://irmh.org","1000 36th St, Vero Beach, FL 32960","Vero Beach","Hospital - corridors, patient rooms, and surgical areas flooring"
Martin County School District,"Maintenance Supervisor","(772) 555-0116","facilities@martinschools.org","https://martinschools.org","500 SE Ocean Blvd, Stuart, FL 34994","Stuart","Multiple schools - gymnasiums, cafeterias, and classroom flooring"
City of Fort Pierce Public Works,"Director","(772) 555-0117","publicworks@cityoffortpierce.com","https://cityoffortpierce.com","100 N US Highway 1, Fort Pierce, FL 34950","Fort Pierce","Municipal facilities - maintenance garage and public area flooring"
Stuart Jet Center,"FBO Manager","(772) 555-0118","info@stuartjetcenter.com","https://stuartjetcenter.com","3601 SE Aviation Way, Stuart, FL 34996","Stuart","Private aviation terminal - hangar floors and lounge area flooring"
Vero Beach Yacht Club,"Harbormaster","(772) 555-0119","info@verobeachyachtclub.com","https://verobeachyachtclub.com","3501 Rio Mar Dr, Vero Beach, FL 32963","Vero Beach","Marina and clubhouse - pool deck, docks, and restaurant flooring"
Seacoast Bank - Operations Center,"Facilities Manager","(772) 555-0120","facilities@seacoastbank.com","https://seacoastbank.com","1500 SE Federal Hwy, Stuart, FL 34996","Stuart","Bank operations center - data center floor and office flooring"
Bass Pro Shops,"Store Manager","(772) 555-0121","vero@basspro.com","https://basspro.com","10041 US Highway 1, Vero Beach, FL 32967","Vero Beach","Outdoor retail store - showroom floor and loading dock flooring"
Publix Distribution Center,"Warehouse Manager","(772) 555-0122","warehousing@publix.com","https://publix.com","6780 Commerce Pkwy, Fort Pierce, FL 34981","Fort Pierce","Grocery distribution - refrigerated warehouse floor and dry storage flooring"
TC Palm Facilities,"Maintenance Lead","(772) 555-0123","maintenance@tcpalm.com","https://tcpalm.com","715 SE Jensen Beach Blvd, Jensen Beach, FL 34958","Jensen Beach","Newspaper printing facility - press room floor and production area flooring"
Savannah's Fitness,"Owner","(772) 555-0124","info@savannahsfitness.com","https://savannahsfitness.com","2727 SW Walton Rd, Port St Lucie, FL 34986","Port St Lucie","Large fitness center - cardio, weight, and functional training area flooring"
Pine School,"Director of Operations","(772) 555-0125","ops@pineschool.org","https://pineschool.org","900 SE St Lucie Blvd, Stuart, FL 34996","Stuart","Private school - gymnasium, corridors, and multipurpose room flooring"
Cleveland Clinic Indian River,"Facilities Director","(772) 555-0126","facilities@clevelandclinic.org","https://clevelandclinic.org","1000 36th St, Vero Beach, FL 32960","Vero Beach","Medical facility - patient rooms, surgical suites, and diagnostic areas flooring"
Port St Lucie Civic Center,"Event Manager","(772) 555-0127","events@pslciviccenter.com","https://pslciviccenter.com","9221 SE Civic Center Pl, Port St Lucie, FL 34952","Port St Lucie","Civic center - event hall floors, conference rooms, and lobby flooring"
Riverside Theater,"Technical Director","(772) 555-0128","technical@riversidetheatre.com","https://riversidetheatre.com","3350 S US Highway 1, Vero Beach, FL 32963","Vero Beach","Performing arts center - stage floor, backstage, and lobby flooring"
Vero Beach Power Squadron,"Commodore","(772) 555-0129","info@veropowersquadron.org","https://veropowersquadron.org","301 Acacia Rd, Vero Beach, FL 32963","Vero Beach","Marine organization - classroom and clubhouse flooring"
St Lucie County Logistics Park,"Leasing Agent","(772) 555-0130","leasing@slclp.com","https://slclp.com","4000 SW Cashmere Blvd, Port St Lucie, FL 34986","Port St Lucie","Industrial park - multiple warehouse and distribution facilities flooring"
