business_name,phone,email,website,address,city,state,category,priority,notes
11 Maple Street,772-334-9998,info@11maplestreet.com,https://www.11maplestreet.com/,11 Maple St,Jensen Beach,FL,Restaurant,High,Fine dining - commercial kitchen epoxy - high-end
Riverwalk Cafe,772-287-9380,info@riverwalkcafe.com,https://www.riverwalkcafe.com/,201 SW Flagler Ave,Stuart,FL,Restaurant,High,Downtown Stuart - high visibility - kitchen remodel potential
Osceola Street Cafe,772-283-7277,cafeosceola@gmail.com,https://www.osceolastreetcafe.com/,24 SW Osceola St,Stuart,FL,Restaurant,High,Popular local cafe - breakfast rush - floor durability
Clementine's Fish Camp,772-288-3865,clementinesfishcamp@gmail.com,https://www.clementinesfishcamp.com/,2365 SE Ocean Blvd,Stuart,FL,Restaurant,High,Seafood restaurant - kitchen ventilation + grease-resistant floors
The Sailor's Return,772-872-7600,info@thesailorsreturn.com,https://www.thesailorsreturn.com/,4310 SE Ocean Blvd,Stuart,FL,Restaurant,High,Waterfront restaurant - outdoor deck potential
Tiki 52,772-781-5400,tiki52stuart@gmail.com,https://www.tiki52stuart.com/,4220 SE Bayshore Blvd,Stuart,FL,Restaurant,Medium,Waterfront restaurant - tiki bar flooring
Kyle G's Restaurants,772-444-0417,info@kylegs.com,https://www.kylegs.com/,10200 SW Discovery Way,Port St Lucie,FL,Restaurant,High,Restaurant group - multiple locations - contract potential
Zest Kitchen and Bar,772-249-4516,zestkitchenbar@gmail.com,https://www.zestkitchenbar.com/,1347 NW St Lucie W Blvd,Port St Lucie,FL,Restaurant,Medium,Modern kitchen & bar - commercial grade
Sazon Latin American Grill,772-335-9036,,https://www.facebook.com/SAZONLATINFL/,Port Saint Lucie,Port St Lucie,FL,Restaurant,Medium,Latin American grill - kitchen equipment
Captain's Cafe,772-466-8800,captainscafe@gmail.com,https://www.captainscafe.com/,1020 Indian River Dr,Fort Pierce,FL,Restaurant,Medium,Waterfront cafe - marine-grade coatings
Walton's Restaurant & Bar,772-234-0596,waltonsrc@gmail.com,https://www.waltonsrestaurant.com/,1227 US Highway 1,Vero Beach,FL,Restaurant,Medium,Established restaurant - renovation potential
Cobalt,772-231-6888,cobaltverobeach@gmail.com,https://www.cobaltverobeach.com/,3845 Ocean Dr,Vero Beach,FL,Restaurant,High,Upscale oceanfront - premium finishes - high-end client
Ocean Grille,772-231-9000,info@oceangrilleverobeach.com,https://www.oceangrilleverobeach.com/,39 Ocean Dr,Vero Beach,FL,Restaurant,Medium,Oceanfront restaurant - salt-resistant coatings
Mulligan's Beach House,772-589-2391,mulliganssebastian@gmail.com,https://www.mulligansbeachhouse.com/,100 Seaview Blvd,Sebastian,FL,Restaurant,Medium,Beach house - sand + salt exposure
The Tides,772-562-3333,info@thetidesverobeach.com,https://www.thetidesverobeach.com/,2268 Ocean Dr,Vero Beach,FL,Restaurant,High,Oceanfront dining - luxury - premium client
