Business Name,Contact Name,Phone,Email,Website,Address,Notes,Date Found
"Cheney Brothers, Inc.","Byron Russell (Chairman & CEO)","561-845-4700","byron@cheneybrothers.com","https://www.cheneybrothers.com/","1 Cheney Express Way, Port St. Lucie, FL 34987","Food distribution center - 367,427 sq ft warehouse with refrigeration and freezer space, 46 loading docks, 275 jobs, $65 million project. Large warehouse floors need epoxy for durability, chemical resistance, and food safety compliance.","2026-02-27"
"Florida RF Labs/EMC Technology","Shawn Karr (VP Engineering)","772-283-0755","info@emc-rflabs.com","http://www.emc-rflabs.com","8851 SW Old Kansas Ave, Stuart, FL 34997","Electronic manufacturing - 247,421 sq ft facility producing RF and microwave components for military, aerospace, space, medical, and telecom industries. Manufacturing floors need epoxy for chemical resistance, static control, and durability.","2026-02-27"
"Stuart Boatworks","Richard (Owner)","772-600-7121","richard@stuartboatworks.com","https://stuartboatworks.com/","3515 SE Lionel Terrace, Stuart, FL 34997","Semi-custom boat manufacturing facility - builds Stuart 23 and Stuart 27 center console boats. Manufacturing shop floors need epoxy for chemical resistance (resins, fiberglass), durability, and easy maintenance. Direct-to-consumer boat builder.","2026-02-27"
"Mercedes-Benz of Fort Pierce","Tony Prezioso (Manager)","772-577-2694","info@mercedesbenzofftpierce.com","https://www.mercedesbenzofftpierce.com/","4500 US Hwy 1 S, Fort Pierce, FL 34982","Auto dealership service center - Luxury Mercedes-Benz dealership serving Fort Pierce, Port St. Lucie, Jensen Beach, Stuart, Vero Beach. Service department floors need epoxy for durability, oil resistance, and professional appearance.","2026-02-27"
"Treasure Coast Toyota of Stuart","Denise Reino (Service Manager)","772-678-7411","service@treasurecoasttoyotaofstuart.com","https://www.treasurecoasttoyotaofstuart.com/","5101 SE Federal Highway, Stuart, FL 34997","Toyota dealership with large service center - Multiple service bays for vehicle maintenance and repair. Service floors need epoxy for oil resistance, chemical spills, durability, and professional appearance. High-volume service operation.","2026-02-27"
"FedEx Ground","Allie Addoms (Spokesperson)","13701 SW Anthony F Sansone SR Boulevard, Port St. Lucie, FL 34987","N/A","https://www.fedex.com/","13701 SW Anthony F Sansone SR Boulevard, Port St. Lucie, FL 34987","Regional sortation center - 245,000 sq ft distribution facility handling package sorting and logistics. 500 full-time jobs. Warehouse floors need epoxy for durability, heavy equipment traffic, and maintenance of high-traffic areas.","2026-02-27"
"MARITIME Wood Products","N/A","772-287-2919","info@maritimewoodproducts.com","https://www.maritimewoodproducts.com/","3361 SE Slater St, Stuart, FL 34997","Custom wood product manufacturer - Produces teak decks and interior hardwood flooring for yachts and architectural projects. Manufacturing facility floors need epoxy for wood dust control, durability, and chemical resistance from stains and finishes.","2026-02-27"
"Southeastern Printing","N/A","772-287-2141","info@seprint.com","https://www.seprint.com/","3601 SE Dixie Highway, Stuart, FL 34997-5246","Full-service printing company - 200,000 sq ft manufacturing and warehouse space in Stuart. Offset, digital, and wide format printing with fulfillment services. Facility floors need epoxy for durability, ink resistance, and professional appearance in high-traffic areas.","2026-02-27"
"Bev Smith Toyota","N/A","772-464-8440","sales@bevsmithtoyota.com","https://www.bevsmithtoyota.com/","3350 S US Highway 1, Fort Pierce, FL 34982","Family-owned Toyota dealership for over 20 years - Serving Fort Pierce, Port St. Lucie, Vero Beach, Stuart, Okeechobee, Jensen Beach. Service department floors need epoxy for oil resistance, chemical spills, and professional appearance.","2026-02-27"
"Wallace Kia","N/A","772-291-9207","service@wallacekiaofstuart.com","https://www.wallacekiaofstuart.com/","3131 SE Federal Highway, Stuart, FL 34994","Premier Kia dealership on Treasure Coast - Large inventory of new and used vehicles with service department. Service floors need epoxy for oil resistance, chemical resistance, durability, and professional appearance in service bays.","2026-02-27"
