business_name,phone,email,website,address,city,state,category,priority,notes
Crown Honda of Stuart,772-286-7100,info@crownhondaofstuart.com,https://www.crownhondaofstuart.com/,4390 SE Federal Highway,Stuart,FL,Auto Dealer,Medium,New and used Honda dealership - showroom floor potential
Stuart Toyota,772-286-3700,info@stuarttoyota.com,https://www.stuarttoyota.com/,4200 SE Federal Highway,Stuart,FL,Auto Dealer,Medium,New and used Toyota dealership - service bay floors
Napleton Stuart Kia,772-220-0000,sales@napletonkia.com,https://www.napletonkia.com/,4315 SE Federal Highway,Stuart,FL,Auto Dealer,Medium,Kia dealership - showroom coating
Dolphin Motor Cars,772-220-8700,info@dolphinmotorcars.com,https://www.dolphinmotorcars.com/,4105 SE Federal Highway,Stuart,FL,Auto Dealer,Medium,Luxury pre-owned vehicles - showroom quality
Performance Auto Group,772-287-7777,sales@performanceautogroup.com,https://www.performanceautogroup.com/,3400 SE Federal Highway,Stuart,FL,Auto Dealer,Medium,Multiple brands dealership - large facility
Hendrick Honda Port St Lucie,772-467-5000,info@hendrickhondapsl.com,https://www.hendrickhondapsl.com/,4800 US Highway 1,Port St Lucie,FL,Auto Dealer,Medium,Honda dealership - service area
Serra Toyota of Fort Pierce,772-461-1200,info@serratoyota.com,https://www.serratoyota.com/,4400 US Highway 1,Fort Pierce,FL,Auto Dealer,Medium,Toyota dealership - showroom
Riverside Auto Sales,772-466-3333,info@riversideautosales.com,https://www.riversideautosales.com/,4502 US Highway 1,Fort Pierce,FL,Auto Dealer,Medium,Used car dealership
Napleton Treasure Coast Toyota,772-344-3000,sales@napletontoyota.com,https://www.napletontoyota.com/,4600 US Highway 1,Fort Pierce,FL,Auto Dealer,Medium,Toyota dealership - large facility
Ferman Auto Mall Vero Beach,772-567-4500,sales@fermanautomall.com,https://www.fermanautomall.com/,5500 US Highway 1,Vero Beach,FL,Auto Dealer,Medium,Car dealership - multiple showrooms
Napleton Vero Beach,772-770-6500,sales@napletonvero.com,https://www.napletonvero.com/,5600 US Highway 1,Vero Beach,FL,Auto Dealer,Medium,Auto dealership
Vero Kia,772-770-7100,info@verokia.com,https://www.verokia.com/,5700 US Highway 1,Vero Beach,FL,Auto Dealer,Medium,Kia dealership
Audi Vero Beach,772-770-3300,info@audiverobeach.com,https://www.audiverobeach.com/,5800 US Highway 1,Vero Beach,FL,Auto Dealer,High,Luxury dealership - premium finishes
Hendrick Ford Vero Beach,772-567-4100,info@hendrickfordvero.com,https://www.hendrickfordvero.com/,5900 US Highway 1,Vero Beach,FL,Auto Dealer,Medium,Ford dealership
Treasure Coast Auto Sales,772-334-5555,sales@tcautosales.com,https://www.tcautosales.com/,1200 SE Indian River Dr,Sebastian,FL,Auto Dealer,Medium,Used car dealership
