business_name,address,phone,email,contact_name,city,category,source_url,search_query
yelp,,,,,Stuart,restaurant,https://www.yelp.com/nearme/restaurants,
Restaurants and Restaurant Bookings | OpenTable,,,,,Stuart,restaurant,https://www.opentable.com/,
Memphis Commercial Appeal,,,,,Stuart,commercial kitchen,https://enewspaper.commercialappeal.com/?r=splash,
The Commercial Appeal eNewspaper,,,,,Stuart,commercial kitchen,https://enewspaper.commercialappeal.com/?cnum=087f96eb-0b98-e611-b81c-90b11c341ce0&fod=1111111STD-0&selDate=20230214&licenseType=paid_subscriber,
Memphis Business News,,,,,Stuart,commercial kitchen,https://www.commercialappeal.com/business/,
THE 10 BEST Restaurants in Jensen Beach,,,,,Jensen Beach,restaurant,https://www.tripadvisor.com/Restaurants-g34332-Jensen_Beach_Florida.html,
yelp,,,,,Jensen Beach,restaurant,https://www.yelp.com/nearme/restaurants,
"THE 15 BEST Restaurants in Jensen Beach, FL",,,,,Jensen Beach,restaurant,https://www.restaurantji.com/fl/jensen-beach/,
Restaurants and Restaurant Bookings | OpenTable,,,,,Jensen Beach,restaurant,https://www.opentable.com/,
"The Best 10 Restaurants near Jensen Beach, FL",,,,,Jensen Beach,restaurant,https://www.yelp.com/search?cflt=restaurants&find_loc=Jensen+Beach%2C+FL%2C+US&msockid=1a2a8d80dfad6cdf1f319a98dec26d37,
Îles Malouines — Wikipédia,,,,,Jensen Beach,commercial kitchen,https://fr.wikipedia.org/wiki/%C3%8Eles_Malouines,
Memphis Commercial Appeal,,,,,Jensen Beach,commercial kitchen,https://enewspaper.commercialappeal.com/?r=splash,
Îles Malouines : plus de 400 ans de conflit irrésolu | National ...,,,,,Jensen Beach,commercial kitchen,https://www.nationalgeographic.fr/histoire/iles-malouines-plus-de-400-ans-de-conflit-irresolu,
yelp,,,,,Port St Lucie,restaurant,https://www.yelp.com/nearme/restaurants,
Restaurants and Restaurant Bookings | OpenTable,,,,,Port St Lucie,restaurant,https://www.opentable.com/,
Memphis Commercial Appeal,,,,,Port St Lucie,commercial kitchen,https://enewspaper.commercialappeal.com/?r=splash,
The Commercial Appeal eNewspaper,,,,,Port St Lucie,commercial kitchen,https://enewspaper.commercialappeal.com/?cnum=087f96eb-0b98-e611-b81c-90b11c341ce0&fod=1111111STD-0&selDate=20230214&licenseType=paid_subscriber,
Memphis Business News,,,,,Port St Lucie,commercial kitchen,https://www.commercialappeal.com/business/,
yelp,,,,,Vero Beach,restaurant,https://www.yelp.com/nearme/restaurants,
Restaurants and Restaurant Bookings | OpenTable,,,,,Vero Beach,restaurant,https://www.opentable.com/,
The Commercial Appeal eNewspaper,,,,,Vero Beach,commercial kitchen,https://enewspaper.commercialappeal.com/?cnum=087f96eb-0b98-e611-b81c-90b11c341ce0&fod=1111111STD-0&selDate=20230214&licenseType=paid_subscriber,
