"Advanced Machine & Tool, Inc.","Frank Simms (President)","772-465-6XXX","info@amtfl.com","https://amtfl.com/","3900 Selvitz Rd, Fort Pierce, FL 34981","Award-winning manufacturing facility - 40,000 sq ft production facility specializing in precision machining of large-scale and intricate components for power generation, oil & gas, military contracts, and amusement park safety. ISO 9001:2015 / AS9100D:2015 certified. Manufacturing floors need epoxy for durability, chemical resistance (oils, coolants), and professional appearance in high-precision machining environment.","2026-02-27"
"Expert Shutter Services, Inc.","N/A","772-871-1915","info@expertshutters.com","https://www.expertshutters.com/","668 SW Whitmore Dr, Port Saint Lucie, FL 34984","Premier hurricane shutter manufacturer for over 30 years - Manufactures and installs Nautilus Rolling Shutter System and accordion storm shutters. Recognized as South Florida Manufacturer of the Year and Sterling Business in Excellence Award 2020. Manufacturing floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
"Indian River Select/FreshCo","Pat Schirard (President)","772-595-0070","info@indianriverselect.com","https://indianriverselect.com/","3586 Oleander Ave, Fort Pierce, FL 34982","Contract beverage packer and juice manufacturer - Manufacturing, warehouse, and distribution operations producing Indian River Select brand premium orange and grapefruit juices. Large facility with food processing floors needing epoxy for durability, chemical resistance, food safety compliance, and easy maintenance.","2026-02-27"
"Liberty Tire Recycling","N/A","772-465-0477","N/A","https://libertytire.com/","9675 Range Line Rd, Port Saint Lucie, FL 34987","North America's top tire recycler - Collects and recycles about one-third of the nation's scrap tires into construction materials, athletic surfaces, rubberized asphalt, alternative fuels, and more. Manufacturing facility floors need epoxy for durability, chemical resistance (rubber compounds), and easy maintenance.","2026-02-27"
"Meyer Utility Structures","N/A","N/A","MeyerConcrete@arcosa.com","https://meyerutilitystructures.com/","Midway Road near Selvitz Road, Fort Pierce, FL 34981","Spun concrete transmission pole manufacturer - State-of-the-art 77,750-square-foot manufacturing facility, 4,000-square-foot office, and 461,000 square feet of shell rock laydown yard. Opened late December 2023. Manufacturing floors need epoxy for durability, chemical resistance (concrete), and heavy equipment support.","2026-02-27"
"Natalie's Orchid Island Juice Company","Christine Nichols (International Sales Manager)","772-465-1122","cnichols@oijc.com","https://www.natalies.com/","330 N US Highway 1, Fort Pierce, FL 34950","Premium juice manufacturer - For over 35 years, producing authentic fresh, clean label juices with no concentrates. Women-owned and family-driven company. Manufacturing facility floors need epoxy for durability, chemical resistance, food safety compliance, and professional appearance.","2026-02-27"
"Precast Specialties, LLC","N/A","772-266-5701","sales@precastspecialties.com","https://precastspecialties.com/","3898 Selvitz Road, Fort Pierce, FL 34981","Florida's leading precast and pre-stressed concrete provider - Manufactures structural, utility, and commercial concrete products. Developing partnerships with customers to ensure complete satisfaction. Manufacturing floors need epoxy for durability, chemical resistance (concrete), and professional appearance.","2026-02-27"
"The Porch Factory","N/A","772-465-6772","N/A","https://theporchfactory.com/","705 N 39th St, Fort Pierce, FL 34947","Screen enclosure manufacturer - 7,500 square foot manufacturing facility in heart of Fort Pierce. Designs, manufactures, and installs screen enclosures, patio extensions, glass enclosures, front entryways, railings, and re-screens. Manufacturing floors need epoxy for durability and professional appearance.","2026-02-27"
"Builders FirstSource","N/A","772-468-8111","N/A","https://www.bldr.com","701 S Kings Hwy, Fort Pierce, FL 34945","Nation's largest supplier of building products - Treasure Coast FL Yard manufactures and assembles building materials including wall panels, roof and floor trusses, millwork products (doors, windows, cabinets, counters, vanities, closets). Manufacturing floors need epoxy for durability, chemical resistance, and heavy equipment traffic.","2026-02-27"
"Premier Lab Supply","N/A","772-873-1700","N/A","https://www.premierlabsupply.com/","691 NW Enterprise Dr, Port Saint Lucie, FL 34986","Global manufacturer of XRF sample preparation consumables - Manufacturing and distributing innovative XRF sample preparation consumables, equipment, and platinum labware for over 25 years. Manufacturing facility floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
