"LactaLogics, Inc.","Steven White (Operations Lead)","N/A","info@lactalogics.com","https://lactalogics.com/","8883 S US Highway 1, Port Saint Lucie, FL 34952","Human milk processing facility - 71,000-square-foot state-of-the-art human milk processing facility opening in 2025. $92 million funding for facility implementation. Mission-driven company dedicated to bringing more human milk to babies in hospital NICUs. Food processing floors need epoxy for durability, chemical resistance, food safety compliance, and easy maintenance in high-traffic food handling areas.","2026-02-27"
"Costco Depot (Port St. Lucie)","N/A","N/A","N/A","https://www.costco.com","Legacy Park at Tradition, Port St. Lucie, FL 34987","Costco distribution depot - First phase: 595,000-square-foot cold- and dry-storage facility. Second phase: 1.06-million-square-foot dry goods distribution center. Total: 1.87 million sq ft. Employing 500+ people. Located off Interstate 95 and Southwest Becker Road. Expected to be main distributor for all of Florida's Costco stores. Distribution floors need epoxy for durability, chemical resistance, and maintenance of high-traffic areas.","2026-02-27"
"Sansone Group Cold Storage Facility","N/A","N/A","N/A","N/A","Port St. Lucie, FL 34987","Cold storage warehouse - 380,000-square-foot cold storage warehouse facility being constructed by Sansone Group and Victory Construction on fifteen acres of land. Industrial floors need epoxy for durability, chemical resistance, and professional appearance in refrigerated environments.","2026-02-27"
"Apple Machine & Supply Co.","N/A","N/A","N/A","https://applemachineandsupply.com","Fort Pierce, FL 34945","Metal supply and fabrication - Offers metal supply, custom metal fabrication, laser cutting, CNC milling, and engineering services. Serving construction and industrial clients in Treasure Coast and Florida. Manufacturing facility floors need epoxy for durability, chemical resistance (metalworking fluids), and professional appearance.","2026-02-27"
"C2 Welding, Inc.","N/A","N/A","N/A","https://c2welding.com/","Fort Pierce, FL 34945","Specialized welding and fabrication - Family-owned business specializing in everything from stainless steel piping to vacuum jacketed piping for cryogenic systems. Fabrication facility floors need epoxy for durability, chemical resistance (welding materials), and professional appearance.","2026-02-27"
"Custom Welding Diversified","N/A","N/A","N/A","N/A","1983 SW Biltmore St, Port Saint Lucie, FL 34953","Welding and metal fabrication - Established in 1992, specializing in welding of aluminum, steel, and stainless steel. Offers small repairs such as patio chairs, trailer repairs, parts, and wiring. Fabrication facility floors need epoxy for durability, chemical resistance (welding materials), and easy maintenance.","2026-02-27"
"Colonial Metalworks","N/A","N/A","N/A","N/A","Fort Pierce, FL 34945","Custom metal fabrication - Provides architectural and industrial fabrication services. Metal fabrication facility floors need epoxy for durability, chemical resistance (metalworking fluids), and professional appearance.","2026-02-27"
"Performance Sheet Metal","N/A","N/A","N/A","https://performancesheetmetal.com/","Fort Pierce, FL 34945","Architectural and industrial fabrication - Brings designs to life with high standards of workmanship. Offers creative problem-solving and adds value through design. Fabrication facility floors need epoxy for durability, chemical resistance, and professional appearance.","2026-02-27"
"Speed Commerce","N/A","N/A","N/A","https://www.speedcommerce.com/","Port St. Lucie, FL 34953","Third-party logistics (3PL) solutions - Leading provider of order fulfillment and 3PL solutions helping businesses of all sizes streamline operations. Warehousing and fulfillment facility floors need epoxy for durability, chemical resistance, and maintenance of high-traffic areas.","2026-02-27"
"Lincoln Distribution","N/A","N/A","N/A","N/A","Port St. Lucie, FL 34953","E-commerce fulfillment solution - Provides reliable ecommerce fulfillment solution for businesses. Warehousing and distribution facility floors need epoxy for durability, chemical resistance, and maintenance of high-traffic package handling areas.","2026-02-27"
"Harbor Place at Port St. Lucie","Ffion Clarke (Executive Director)","N/A","N/A","https://www.centurypa.com/senior-living/harbor-place-port-st-lucie/","Port St. Lucie, FL 34952","Assisted and independent living community - Large senior living community with assisted living and independent living options. Features 24/7 staffing, health and well-being monitoring, social activities, heated outdoor swimming pool and hot tub, scheduled transportation, meals, laundry, housekeeping, and linen services. Facility floors need epoxy for durability, chemical resistance (cleaning agents), infection control, and easy maintenance.","2026-02-27"
