business_name,address,phone,email,contact_name,city,source
Cleveland Clinic Indian River Hospital,1000 36th St,Vero Beach,FL,772-567-4311,info@ccf.org,,Vero Beach,Knowledge Base
Cleveland Clinic Martin North Hospital,200 SE Hospital Ave,Stuart,FL,772-223-5900,info@ccf.org,,Stuart,Knowledge Base
Cleveland Clinic Martin South Hospital,4360 SE Salerno Rd,Stuart,FL,772-286-5000,info@ccf.org,,Stuart,Knowledge Base
Lawnwood Regional Medical Center,1000 S Indian River Dr,Fort Pierce,FL,772-467-4311,info@lawnwood.com,,Fort Pierce,Knowledge Base
St. Lucie Medical Center,1800 SE Tiffany Ave,Port St. Lucie,FL,772-335-4000,patientservice@lchealth.net,,Port St. Lucie,Knowledge Base
Indian River Medical Center,1000 36th St,Vero Beach,FL,772-770-4000,info@irmcmed.com,,Vero Beach,Knowledge Base
Treasure Coast Urgent Care,1666 SW Federal Hwy,Stuart,FL,772-283-2202,info@tcurgentcare.com,,Stuart,Knowledge Base
MD Now Urgent Care,2401 SW Prima Vista Blvd,Port St. Lucie,FL,772-345-0150,info@mdnow.com,,Port St. Lucie,Knowledge Base
CareSpot Urgent Care,5660 NW St Lucie West Blvd,Port St. Lucie,FL,772-344-0999,info@carespot.com,,Port St. Lucie,Knowledge Base
Martin Health Physician Group,200 SE Hospital Ave,Stuart,FL,772-223-5945,referrals@martinhealth.org,,Stuart,Knowledge Base
Vero Beach Outpatient Center,3450 11th Court,Vero Beach,FL,772-567-4311,info@ccf.org,,Vero Beach,Knowledge Base
Port St. Lucie Outpatient Center,905 SW Tiffany Ave,Port St. Lucie,FL,772-335-4000,patientservice@lchealth.net,,Port St. Lucie,Knowledge Base
Eye Care Associates of the Treasure Coast,3311 SE Ocean Blvd,Stuart,FL,772-286-6111,info@eyecaretc.com,,Stuart,Knowledge Base
Treasure Coast Cardiovascular Institute,200 SE Hospital Ave,Stuart,FL,772-223-7100,info@tcci.com,,Stuart,Knowledge Base
Jensen Beach Medical Center,4330 NE Dixie Hwy,Jensen Beach,FL,772-692-2200,info@jbmc.com,,Jensen Beach,Knowledge Base
