business_name,email,phone,city,state,website,priority,notes
11 Maple Street,info@11maplestreet.com,772-334-9998,Jensen Beach,,https://www.11maplestreet.com/,Medium,Generic email (info@/contact@/sales@)
Captain's Cafe,captainscafe@gmail.com,772-466-8800,Fort Pierce,,https://www.captainscafe.com/,High,Business-specific email (not generic info@)
Clementine's Fish Camp,clementinesfishcamp@gmail.com,772-288-3865,Stuart,,https://www.clementinesfishcamp.com/,High,Business-specific email (not generic info@)
Cobalt,cobaltverobeach@gmail.com,772-231-6888,Vero Beach,,https://www.cobaltverobeach.com/,High,Business-specific email (not generic info@)
Cobalt Restaurant,info@cobaltrestaurant.com,772-469-1060,Vero Beach,,cobaltrestaurant.com,Medium,Generic email (info@/contact@/sales@)
Crux Kitchen,info@cruxkitchen.com,772-408-6161,Port St Lucie,FL,https://cruxkitchen.com,Medium,Generic email (info@/contact@/sales@)
Kilwins,kilwinsjb@gmail.com,772-210-0299,Jensen Beach,FL,https://kilwinsjb.com,High,Business-specific email (not generic info@)
Kyle G's Restaurants,info@kylegs.com,772-444-0417,Port St Lucie,,https://www.kylegs.com/,Medium,Generic email (info@/contact@/sales@)
Mulligan's Beach House Bar & Grill,info@mulligansbeachhouse.com,772-231-1100,Vero Beach,FL,https://mulligansbeachhouse.com,Medium,Generic email (info@/contact@/sales@)
Ocean Grille,info@oceangrillestuart.com,772-286-4444,Stuart,FL,https://oceangrillestuart.com,Medium,Generic email (info@/contact@/sales@)
Osceola Street Cafe,cafeosceola@gmail.com,772-283-7277,Stuart,,https://www.osceolastreetcafe.com/,High,Business-specific email (not generic info@)
Piper's Landing Yacht & Country Club,info@pierslanding.com,772-334-4400,Jensen Beach,FL,https://pierslanding.com,Medium,Generic email (info@/contact@/sales@)
Riverwalk Cafe,info@riverwalkcafe.com,772-287-9380,Stuart,,https://www.riverwalkcafe.com/,Medium,Generic email (info@/contact@/sales@)
Sailor's Return Restaurant,info@sailorsreturn.com,772-872-7250,Stuart,FL,"",Medium,Generic email (info@/contact@/sales@)
Shuckers,shuckersstuart@gmail.com,772-225-3455,Stuart,,"",High,Business-specific email (not generic info@)
The Dolphin Bar & Shrimp House,dolphinbarstuart@gmail.com,772-287-7777,Stuart,FL,https://thedolphinbar.com,High,Business-specific email (not generic info@)
The Oar Restaurant,theoarrestaurantvb@gmail.com,772-226-7155,Vero Beach,,theoarrestaurant.com,High,Business-specific email (not generic info@)
The Sailor's Return,info@thesailorsreturn.com,772-872-7600,Stuart,,https://www.thesailorsreturn.com/,Medium,Generic email (info@/contact@/sales@)
The Tides,info@thetidesverobeach.com,772-562-3333,Vero Beach,,https://www.thetidesverobeach.com/,Medium,Generic email (info@/contact@/sales@)
Tiki 52,tiki52stuart@gmail.com,772-781-5400,Stuart,,https://www.tiki52stuart.com/,High,Business-specific email (not generic info@)
Walton House Restaurant,waltonhouse@bellsouth.net,772-466-6644,Fort Pierce,FL,https://waltonhouse.com,High,Business-specific email (not generic info@)
Walton's Restaurant & Bar,waltonsrc@gmail.com,772-234-0596,Vero Beach,,https://www.waltonsrestaurant.com/,High,Business-specific email (not generic info@)
Zest Kitchen and Bar,zestkitchenbar@gmail.com,772-249-4516,Port St Lucie,,https://www.zestkitchenbar.com/,High,Business-specific email (not generic info@)
